id,title,genres,overview,cast,director
1197306,A Working Man,"[""Action"", ""Crime"", ""Thriller""]","Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.","[""Jason Statham"", ""David Harbour"", ""Michael Pe\u00f1a"", ""Jason Flemyng"", ""Arianna Rivas""]",David Ayer
324544,In the Lost Lands,"[""Fantasy"", ""Adventure"", ""Action""]","A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where she and her guide, the drifter Boyce, must outwit and outfight both man and demon.","[""Milla Jovovich"", ""Dave Bautista"", ""Arly Jover"", ""Amara Okereke"", ""Fraser James""]",Paul W. S. Anderson
950387,A Minecraft Movie,"[""Family"", ""Comedy"", ""Adventure"", ""Fantasy""]","Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","[""Jason Momoa"", ""Jack Black"", ""Sebastian Eugene Hansen"", ""Emma Myers"", ""Danielle Brooks""]",Jared Hess
822119,Captain America: Brave New World,"[""Action"", ""Thriller"", ""Science Fiction""]","After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","[""Anthony Mackie"", ""Harrison Ford"", ""Danny Ramirez"", ""Shira Haas"", ""Tim Blake Nelson""]",Julius Onah
1045938,G20,"[""Action"", ""Mystery"", ""Drama""]","After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.","[""Viola Davis"", ""Anthony Anderson"", ""Marsai Martin"", ""Ram\u00f3n Rodr\u00edguez"", ""Douglas Hodge""]",Patricia Riggen
1195506,Novocaine,"[""Action"", ""Comedy"", ""Thriller""]","When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.","[""Jack Quaid"", ""Amber Midthunder"", ""Ray Nicholson"", ""Jacob Batalon"", ""Betty Gabriel""]",Dan Berk
1293286,Gunslingers,"[""Western"", ""Action""]","When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.","[""Stephen Dorff"", ""Heather Graham"", ""Nicolas Cage"", ""Randall Batinkoff"", ""Cooper Barnes""]",Brian Skiba
1233413,Sinners,"[""Horror"", ""Action"", ""Thriller""]","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","[""Michael B. Jordan"", ""Miles Caton"", ""Hailee Steinfeld"", ""Wunmi Mosaku"", ""Jack O'Connell""]",Ryan Coogler
1244944,The Woman in the Yard,"[""Horror"", ""Mystery""]","In the aftermath of her husband's death, widow Ramona's struggle to raise her two kids is hindered by the arrival of a mysterious woman with supernatural abilities.","[""Danielle Deadwyler"", ""Okwui Okpokwasili"", ""Peyton Jackson"", ""Estella Kahiha"", ""Russell Hornsby""]",Jaume Collet-Serra
1241982,Moana 2,"[""Animation"", ""Adventure"", ""Family"", ""Comedy""]","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","[""Auli\u02bbi Cravalho"", ""Dwayne Johnson"", ""Hual\u0101lai Chung"", ""Rose Matafeo"", ""David Fane""]",David G. Derrick Jr.
615,The Passion of the Christ,"[""Drama""]",A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,"[""Jim Caviezel"", ""Maia Morgenstern"", ""Christo Jivkov"", ""Francesco De Vito"", ""Monica Bellucci""]",Mel Gibson
762509,Mufasa: The Lion King,"[""Adventure"", ""Family"", ""Animation""]","Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","[""Aaron Pierre"", ""Kelvin Harrison, Jr."", ""Tiffany Boone"", ""Kagiso Lediga"", ""Preston Nyman""]",Barry Jenkins
974576,Conclave,"[""Drama"", ""Thriller"", ""Mystery""]","After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.","[""Ralph Fiennes"", ""Stanley Tucci"", ""John Lithgow"", ""Isabella Rossellini"", ""Lucian Msamati""]",Edward Berger
939243,Sonic the Hedgehog 3,"[""Action"", ""Science Fiction"", ""Comedy"", ""Family""]","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","[""Jim Carrey"", ""Ben Schwartz"", ""Keanu Reeves"", ""Idris Elba"", ""Colleen O'Shaughnessey""]",Jeff Fowler
1373723,The Codes of War,"[""Action"", ""War""]","War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","[""Noah Gray-Cabey"", ""Michael Grant""]",Paul Anderson
